Taxon	BCD1	BCD2	BCP1	BCP2	BD1	BD4	BP1	BP4	CD1	CD2	CD3	CD4	CD5	CD8	CP1	CP2	CP3	CP4	CP5	CP8
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Parasporobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53907134768e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella	0.000125407574618	0.00600600600601	0.000596629045891	0.00956937799043	0.00896860986547	0.0	0.0	0.0	7.07814269536e-05	0.0	5.34330750735e-05	0.0	0.000427899015832	0.000131204898316	0.000257466529351	8.32431532506e-05	0.000195671741087	0.0	0.00056822794058	0.000259701714031
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	0.000125407574618	0.0	0.00019887634863	0.0	0.0	0.0	0.0	0.0	0.000212344280861	0.0	0.0	0.00212805762125	0.00057053202111	0.000262409796632	0.000429110882252	0.0	0.0	0.00135823429542	0.000405877100414	0.00248571640573
Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other	0.0250815149235	0.0960960960961	0.0974494108288	0.138755980861	0.152466367713	0.182266009852	0.0987654320988	0.137096774194	0.0643757078143	0.042612259287	0.0958589366818	0.223773443712	0.165596919127	0.0376995407829	0.174081702712	0.134354449347	0.241654600243	0.210229202037	0.253916714019	0.127179639386
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71644352901e-05	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporacetigenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00251135452845	0.00116926242926	0.0	0.0	0.0	0.0	0.00630063006301	0.00331069609508	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07814269536e-05	0.000528797426519	0.0	4.67704971704e-05	0.000142633005277	4.37349661054e-05	0.000274630964641	0.000499458919504	0.0	8.48896434635e-05	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum	0.0	0.0	4.97190871576e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0.000125407574618	0.0	0.000298314522945	0.0	0.0	0.0	0.0	0.0	3.53907134768e-05	0.0	5.34330750735e-05	0.000116926242926	0.0	0.0	0.000171644352901	0.000208107883127	0.000117403044652	4.24448217317e-05	8.11754200828e-05	3.71002448616e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	0.00050163029847	0.0	0.00104410083031	0.0	0.0	0.0	0.0	0.0	0.00191109852775	0.000572863878729	0.00170985840235	0.00463027921987	0.00185422906861	0.000218674830527	0.00719189838654	0.00149837675851	0.00680937658983	0.003480475382	0.00194821008199	0.00255991689545
